"id","message"
1,"END OF MESSAGES"
2,"WARNING: MAXIMUM NUMBER OF THETA'S PLUS VARIANCE COMPONENTS EXCEEDS MAXIMUM NUMBER OF PARAMETERS THAT CAN BE ESTIMATED. CHANGE LPAR USING $SIZES"
3,"WARNING: PARAMETER LPAR2 NOT SET CORRECTLY"
4,"WARNING: PARAMETER LPAR3 NOT SET CORRECTLY"
5,"WARNING: PARAMETER MTHVR NOT SET CORRECTLY"
6,"WARNING: PARAMETER LWS1 SHOULD BE NO LESS THAN 5*LPAR2*(LPAR2+1)."
7,"WARNING: PARAMETER LWS1 SHOULD BE NO LESS THAN 5*(LTH+LVR)*(LTH+LVR+1)."
8,"WARNING: PARAMETER LWS1 SHOULD BE NO LESS THAN 4*LSUPP."
9,"WARNING: PARAMETER LWS1 SHOULD BE NO LESS THAN LNP4*(6+2*LIM7)."
10,"WARNING: PARAMETER LWS1 SHOULD BE NO LESS THAN 16200."
11,"WARNING: PARAMETER LWS2 SHOULD BE NO LESS THAN LVR*(LVR+1)/2*(LVR*(LVR+1)/2+3)."
12,"WARNING: PARAMETER LWS2 SHOULD BE NO LESS THAN NO*LVR."
13,"R MATRIX UNOBTAINABLE"
14,"S MATRIX UNOBTAINABLE"
15,"COVARIANCE MATRIX UNOBTAINABLE"
16,"COVARIANCE STEP ABORTED"
17,"COVARIANCE MATRIX SET EQUAL TO INVERSE OF S MATRIX"
18,"S MATRIX ALGORITHMICALLY SINGULAR"
19,"T MATRIX - EQUAL TO RS*RMAT, WHERE S* IS THE INVERSE OF S - IS OUTPUT"
20,"S MATRIX IS OUTPUT"
21,"PSEUDO INVERSE OF S MATRIX UNOBTAINABLE"
22,"T MATRIX UNOBTAINABLE"
23,"T MATRIX - EQUAL TO RS*RMAT, WHERE S* IS A PSEUDO INVERSE OF S - IS OUTPUT"
24,"INVERSE COVARIANCE MATRIX SET TO RS*RMAT, WHERE S* IS A PSEUDO INVERSE OF S"
25,"R MATRIX ALGORITHMICALLY NON-POSITIVE-SEMIDEFINITE"
26,"BUT NONSINGULAR"
27,"R MATRIX IS OUTPUT"
28,"R MATRIX ALGORITHMICALLY SINGULAR"
29,"AND ALGORITHMICALLY NON-POSITIVE-SEMIDEFINITE"
30,"PSEUDO INVERSE OF COVARIANCE MATRIX UNOBTAINABLE"
31,"INVERSE COVARIANCE MATRIX UNOBTAINABLE"
32,"OBJECTIVE FUNCTION IS TO BE EVALUATED/ CONDITIONAL ETA-ESTIMATES ARE TO BE USED"
33,"ETABAR IS THE ARITHMETIC MEAN OF THE ETA-ESTIMATES, AND THE P-VALUE IS GIVEN FOR THE NULL HYPOTHESIS THAT THE TRUE MEAN IS 0."
34,"ETABAR IS THE ARITHMETIC MEAN OF THE ETA-ESTIMATES, AND THE P-VALUE IS GIVEN FOR THE NULL HYPOTHESIS THAT IT AND THE ETABAR IN THE INPUT MSF REPRESENT THE SAME MEAN."
35,"ETABAR IS THE ARITHMETIC MEAN OF THE ETA-ESTIMATES."
36,"MONITORING OF SEARCH:"
37,"MINIMIZATION SUCCESSFUL"
38,"HOWEVER, PROBLEMS OCCURRED WITH THE MINIMIZATION. REGARD THE RESULTS OF THE ESTIMATION STEP CAREFULLY, AND ACCEPT THEM ONLY AFTER CHECKING THAT THE COVARIANCE STEP PRODUCES REASONABLE OUTPUT."
39,"NO. OF SIG. DIGITS UNREPORTABLE"
40,"PARAMETER ESTIMATE IS NEAR ITS BOUNDARY"
41,"PROGRAM TERMINATED BY INLOBJ"
42,"INTRAINDIVIDUAL VAR-COV OF DATA FROM SOME OBS RECORD ESTIMATED TO BE 0"
43,"AT THE LAST COMPUTED INFINITE VALUE OF THE OBJ. FUNCT.:"
44,"THIS MUST BE ADDRESSED BEFORE THE COVARIANCE STEP CAN BE IMPLEMENTED"
45,"ETABAR IS THE ARITHMETIC MEAN OF THE ETA-ESTIMATES AND SE IS THE ASSOCIATED STANDARD ERROR."
46,"SEARCH REPEATED"
47,"SEARCH REPEATED WITH 2ND STAGE OF STIELTJES METHOD"
48,"FOR A PARAMETER OF THE PROBLEM GENERATING THE PRIOR WHOSE INITIAL ESTIMATE IS FIXED IN THIS PROBLEM ITS ESTIMATE USING THE PRIOR IS NEAR THE BOUNDARY"
49,"END OF PRED EXIT CODE MESSAGES FROM THE ESTIMATION STEP"
50,"MINIMIZATION TERMINATED"
51,"DUE TO MAX. NO. OF FUNCTION EVALUATIONS EXCEEDED"
52,"DUE TO ZERO GRADIENT// NO. OF SIG. DIGITS IS EFFECTIVELY INFINITE/ HOWEVER IT IS ADVISABLE TO REGARD THESE RESULTS CAREFULLY BEFORE ACCEPTING THEM"
53,"DUE TO ROUNDING ERRORS (ERROR=133)"
54,"DUE TO ROUNDING ERRORS (ERROR=134)"
55,"DUE TO INFINITE INITIAL VALUE OF OBJ. FUNC. AT INITIAL ESTIMATE"
56,"DUE TO PROXIMITY OF LAST ITERATION EST. TO A VALUE AT WHICH THE OBJ. FUNC. IS INFINITE (ERROR=136)"
57,"DUE TO PROXIMITY OF NEXT ITERATION EST. TO A VALUE AT WHICH THE OBJ. FUNC. IS INFINITE"
58,"DUE TO PROXIMITY OF LAST ITERATION EST. TO A VALUE AT WHICH THE OBJ. FUNC. IS INFINITE (ERROR=138)"
59,"ADDITIONAL PROBLEMS OCCURRED WITH THE MINIMIZATION. REGARD THE RESULTS OF THE ESTIMATION STEP CAREFULLY, AND ACCEPT THEM ONLY AFTER CHECKING THAT THE COVARIANCE STEP PRODUCES REASONABLE OUTPUT."
60,"OMEGA IS SINGULAR"
61,"PROGRAM TERMINATED BY FNLETA"
62,"VAR-COV OF SOME OBS ESTIMATED TO BE 0"
63,"VAR-COV OF SOME MULTIVARIATE OBSERVATION ESTIMATED TO BE SINGULAR"
64,"SUM OF ""SQUARED"" WEIGHTED INDIVIDUAL RESIDUALS IS INFINITE"
65,"CONDITIONAL CONTRIBUTION OR IT'S DERIVATIVE IS INFINITE"
66,"CONDITIONAL CONTRIBUTIONS OR THEIR DERIVATIVES SUM TO INFINITY"
67,"CONDITIONAL LIKELIHOOD FOR SOME OBSERVATION ESTIMATED TO BE NEGLIGIBLE"
68,"CONDITIONAL LIKELIHOOD FOR SOME L2 OBSERVATION ESTIMATED TO BE NEGLIGIBLE"
69,"HESSIAN OF OBJ. FUNC. FOR COMPUTING CONDITIONAL ESTIMATE IS SINGULAR"
70,"OBSERVATION IS OUTSIDE LIMITS"
